district_code,state_name,district_name,population,male,female,literate,workers,households,households_with_internet,households_with_electric_lighting,urban_households,rural_households,households_with_computer,lpg_or_png_households
1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,229064,181664,762,83071,23226,158438,5256,15828
2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,214866,187839,1999,90190,27190,160649,5892,15118
3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,75079,54394,574,17250,17474,36920,2150,13645
4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,51873,48144,235,15824,7774,40370,1005,3285
5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,161393,147408,346,62900,15269,132139,3342,13160
6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,290912,213578,673,96012,17508,196070,6219,23946
7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,200431,214847,1443,109422,33473,181374,6112,32772
8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,304200,259475,3698,138180,48932,210543,10645,33022
9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,149317,98076,985,45469,17555,80521,3155,8868
10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,407188,262239,16413,165403,257721,4518,33831,138119
11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,100890,77346,878,38487,13558,63788,2779,10410
12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,188420,169223,1537,73629,21703,147520,5293,16828
13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,87721,80888,884,35282,5272,75616,3440,3727
14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,389684,277733,2712,114899,70666,207067,8612,28984
15,JAMMU AND KASHMIR,Kulgam,424483,217620,206863,209085,159990,121130,838,47913,25178,95952,3542,4301
16,JAMMU AND KASHMIR,Doda,409936,213641,196295,219083,151912,133617,596,61831,11350,122267,3077,7963
17,JAMMU AND KASHMIR,Ramban,283713,149132,134581,124065,87212,89622,417,34243,5341,84281,2644,3982
18,JAMMU AND KASHMIR,Kishtwar,230696,120165,110531,107506,82974,78371,274,24067,5993,72378,1651,4118
19,JAMMU AND KASHMIR,Udhampur,554985,296784,258201,322354,243672,183360,1214,73999,34696,148664,5744,20008
20,JAMMU AND KASHMIR,Reasi,314667,166461,148206,150542,144767,107833,602,31588,12261,95572,2849,6552
21,JAMMU AND KASHMIR,Jammu,1529958,813821,716137,1137135,508622,502609,19905,294739,248043,254566,46657,197168
22,JAMMU AND KASHMIR,Samba,318898,169124,149774,228139,92526,114236,992,61159,19989,94247,4465,34063
23,HIMACHAL PRADESH,Chamba,519080,261320,257760,323842,294035,200231,1615,96082,13836,186395,5117,21458
24,HIMACHAL PRADESH,Kangra,1510075,750591,759484,1152640,675170,627328,8053,330081,39007,588321,22753,148361
25,HIMACHAL PRADESH,Lahul AND Spiti,31564,16588,14976,21845,19295,17434,61,5618,0,17434,252,2046
26,HIMACHAL PRADESH,Kullu,437903,225452,212451,307672,269084,188704,2623,91322,20709,167995,7010,40064
27,HIMACHAL PRADESH,Mandi,999777,498065,501712,723747,572671,462825,5333,214491,31696,431129,16401,59324
