location_id,district_code,state_name,district_name,population,male,female,literate,workers,households,households_with_internet,households_with_electric_lighting,urban_households,rural_households,households_with_computer,lpg_or_png_households,state_key,district_key,latitude,longitude
1,1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,229064,181664,762,83071,23226,158438,5256,15828,JAMMU AND KASHMIR,KUPWARA,34.42899310857143,74.25760656619047
2,2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,214866,187839,1999,90190,27190,160649,5892,15118,JAMMU AND KASHMIR,BADGAM,,
3,3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,75079,54394,574,17250,17474,36920,2150,13645,JAMMU AND KASHMIR,LEHLADAKH,,
4,4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,51873,48144,235,15824,7774,40370,1005,3285,JAMMU AND KASHMIR,KARGIL,,
5,5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,161393,147408,346,62900,15269,132139,3342,13160,JAMMU AND KASHMIR,PUNCH,,
6,6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,290912,213578,673,96012,17508,196070,6219,23946,JAMMU AND KASHMIR,RAJOURI,18.09125090666667,40.142437756666666
7,7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,200431,214847,1443,109422,33473,181374,6112,32772,JAMMU AND KASHMIR,KATHUA,32.39229930672269,75.07584884017093
8,8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,304200,259475,3698,138180,48932,210543,10645,33022,JAMMU AND KASHMIR,BARAMULA,,
9,9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,149317,98076,985,45469,17555,80521,3155,8868,JAMMU AND KASHMIR,BANDIPORE,,
10,10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,407188,262239,16413,165403,257721,4518,33831,138119,JAMMU AND KASHMIR,SRINAGAR,37.09409439310345,73.57574407068965
11,11,JAMMU AND KASHMIR,Ganderbal,297446,158720,138726,143276,100890,77346,878,38487,13558,63788,2779,10410,JAMMU AND KASHMIR,GANDERBAL,48.342952188,74.015297176
12,12,JAMMU AND KASHMIR,Pulwama,560440,293064,267376,293958,188420,169223,1537,73629,21703,147520,5293,16828,JAMMU AND KASHMIR,PULWAMA,109.81831322191782,252.48812483424658
13,13,JAMMU AND KASHMIR,Shupiyan,266215,136480,129735,136500,87721,80888,884,35282,5272,75616,3440,3727,JAMMU AND KASHMIR,SHUPIYAN,,
14,14,JAMMU AND KASHMIR,Anantnag,1078692,559767,518925,545532,389684,277733,2712,114899,70666,207067,8612,28984,JAMMU AND KASHMIR,ANANTNAG,75.21122993298968,85.3739760412371
