market_id,location_id,district_code,state_name,district_name,population,male,female,literate,workers,households,households_with_internet,households_with_electric_lighting,urban_households,rural_households,households_with_computer,lpg_or_png_households,state_key,district_key,latitude,longitude,literacy_rate,worker_participation_rate,internet_penetration,computer_penetration,lpg_adoption_rate,urban_household_ratio,population_normalized,DSS,market_tier
1,1,1,JAMMU AND KASHMIR,Kupwara,870354,474190,396164,439654,229064,181664,762,83071,23226,158438,5256,15828,JAMMU AND KASHMIR,KUPWARA,34.42899310857143,74.25760656619047,0.36257252007908286,0.011862148030739927,0.01563811009378441,0.056951164293330296,0.11244741137655886,0.1278514180024661,0.07802558490008817,8.874756706658369,Low Potential
2,2,2,JAMMU AND KASHMIR,Badgam,753745,398041,355704,335649,214866,187839,1999,90190,27190,160649,5892,15118,JAMMU AND KASHMIR,BADGAM,,,0.2627878540063902,0.0651442254335064,0.05320059873355184,0.06625327080067481,0.10329894612014187,0.14475162240003406,0.06747478136368834,9.935461075915816,Low Potential
3,3,3,JAMMU AND KASHMIR,Leh(Ladakh),133487,78971,54516,93770,75079,54394,574,17250,17474,36920,2150,13645,JAMMU AND KASHMIR,LEHLADAKH,,,0.691635976805546,0.7406269088250635,0.05267942855906686,0.09742567116259179,0.3378892876358278,0.3212486671324043,0.011353724670977868,28.716586434809898,High Potential
4,4,4,JAMMU AND KASHMIR,Kargil,140802,77785,63017,86236,51873,48144,235,15824,7774,40370,1005,3285,JAMMU AND KASHMIR,KARGIL,,,0.5415431799557755,0.2681116272340759,0.019638341841914164,0.0261664393761162,0.08643005804107612,0.16147391159853772,0.012015587201903993,13.471828089965616,Low Potential
5,5,5,JAMMU AND KASHMIR,Punch,476835,251899,224936,261724,161393,147408,346,62900,15269,132139,3342,13160,JAMMU AND KASHMIR,PUNCH,,,0.435504923254933,0.19519172225603432,0.004875808479841691,0.03303156572101421,0.11540526451217469,0.10358325192662542,0.04241991418135703,10.68787103485015,Low Potential
6,6,6,JAMMU AND KASHMIR,Rajouri,642415,345351,297064,364109,290912,213578,673,96012,17508,196070,6219,23946,JAMMU AND KASHMIR,RAJOURI,18.09125090666667,40.142437756666666,0.4653627206608701,0.4737185460855421,0.009558913999302778,0.05766038452208402,0.14685764387872036,0.0819747352255382,0.057401622707775074,15.454909576383823,Low Potential
7,7,7,JAMMU AND KASHMIR,Kathua,616435,326109,290326,389204,200431,214847,1443,109422,33473,181374,6112,32772,JAMMU AND KASHMIR,KATHUA,32.39229930672269,75.07584884017093,0.5730883415583194,0.16275012767680508,0.030330077554044717,0.055100551563876436,0.20251094458786068,0.1557992431823577,0.055050947580849476,14.117660989873876,Low Potential
8,8,8,JAMMU AND KASHMIR,Baramula,1008039,534733,473306,545149,304200,259475,3698,138180,48932,210543,10645,33022,JAMMU AND KASHMIR,BARAMULA,,,0.42203697710327087,0.10583556408524364,0.07423059626319906,0.10315164499299159,0.1677132662480465,0.18858078812987764,0.09048334875115634,14.47615254593414,Low Potential
9,9,9,JAMMU AND KASHMIR,Bandipore,392232,207680,184552,185979,149317,98076,985,45469,17555,80521,3155,8868,JAMMU AND KASHMIR,BANDIPORE,,,0.3108948773261933,0.29800270675041796,0.04971171579826513,0.06931598859670887,0.11698000150113085,0.17899384151066522,0.034765019348282106,14.13919706886265,Low Potential
10,10,10,JAMMU AND KASHMIR,Srinagar,1236829,651124,585705,748584,407188,262239,16413,165403,257721,4518,33831,138119,JAMMU AND KASHMIR,SRINAGAR,37.09409439310345,73.57574407068965,0.5295054898767153,0.17267106341264182,0.35583026208577684,0.439295943801732,0.7176988836201358,0.982771441318797,0.11118430957830444,48.077662495756954,Very High Potential
